School,Zip Code,Grades,Local District,Board District,complete_address,latitude,longitude
Dolores Street Elementary,90745,K- 5,S,7-Dr Richard A Vladovic,22526 Dolores St Carson CA 90745,33.8214287,-118.2720078
Hamlin Charter Academy,91307,K- 5,NW,3-Scott M Schmerelson,22627 Hamlin St West Hills CA 91307,34.189829,-118.619992
Eagle Tree Continuation High,90745,9-12,S,7-Dr Richard A Vladovic,22628 S Main St Carson CA 90745,33.8203628,-118.2752504
Animo College Preparatory Academy,90002,9-12,XR,7-Dr Richard A Vladovic,2265 E 103rd St Los Angeles CA 90002,33.9449522,-118.229728
Enadia Way Technology Charter,91307,K- 5,NW,3-Scott M Schmerelson,22944 Enadia Way West Hills CA 91307,34.1996611,-118.627345
MacArthur Park Elementary Visual and Performing Arts,90057,K- 5,C,2-Monica Garcia,2300 W 7th St Los Angeles CA 90057,34.05753729999999,-118.279533
Joseph Pomeroy Widney Career Preparatory & Transition Center,90018,10-12,C,1-Dr George J McKenna III,2302 S Gramercy Pl Los Angeles CA 90018,34.0358401,-118.3129751
New Designs,90007,6-12,XR,2-Monica Garcia,2303 S Figueroa St Los Angeles CA 90007,34.0301169,-118.2748086
Calabash Charter Academy,91364,K- 5,NW,4-Nick Melvoin,23055 Eugene St Woodland Hills CA 91364,34.158581,-118.629491
Ramona Opportunity High School,90063,7-12,E,2-Monica Garcia,231 S Alma Ave Los Angeles CA 90063,34.03403529999999,-118.19113020000002
Woodlake Elementary Community Charter,91367,K- 5,NW,3-Scott M Schmerelson,23231 Hatteras St Woodland Hills CA 91367,34.1763054,-118.6333621
232nd Place Elementary,90745,K- 5,S,7-Dr Richard A Vladovic,23240 Archibald Ave Carson CA 90745,33.814467,-118.282311
Frank Lanterman High School,90007,9-11,C,2-Monica Garcia,2328 St James Pl Los Angeles CA 90007,34.03198629999999,-118.2784311
Justice Street Academy Charter,91304,K- 5,NW,3-Scott M Schmerelson,23350 Justice St West Hills CA 91304,34.2155285,-118.6357194
Samuel Gompers Middle School,90061,6- 8,S,7-Dr Richard A Vladovic,234 E 112th St Los Angeles CA 90061,33.93287720000001,-118.2705623
Los Angeles Leadership Academy Charter School,90031,6-12,XR,2-Monica Garcia,234 E Avenue 33 Los Angeles CA 90031,34.0831975,-118.2105834
Welby Way Charter Elementary and Gifted-High Ability Magnet,91307,K- 5,NW,3-Scott M Schmerelson,23456 Welby Way West Hills CA 91307,34.191624,-118.637774
Catskill Avenue Elementary,90745,K- 5,S,7-Dr Richard A Vladovic,23536 Catskill Ave Carson CA 90745,33.8116,-118.27079740000002
Vernon City Elementary,90058,K- 6,E,5-Jackie Goldberg,2360 E Vernon Ave Los Angeles CA 90058,34.0035091,-118.2312358
George Ellery Hale Charter Academy,91367,6- 8,NW,3-Scott M Schmerelson,23830 Califa St Woodland Hills CA 91367,34.1772223,-118.6455305
Charles White Elementary School,90057,1- 5,C,2-Monica Garcia,2401 Wilshire Blvd Los Angeles CA 90057,34.0603794,-118.2797525
Academia Moderna,90255,K- 5,XR,5-Jackie Goldberg,2410 Broadway Walnut Park CA 90255,33.9665903,-118.229728
Middleton Street Primary Center,90255,K- 1,E,5-Jackie Goldberg,2410 Zoe Ave Huntington Park CA 90255,33.9789059,-118.2291798
Marvin Elementary,90016,K- 5,W,1-Dr George J McKenna III,2411 Marvin Ave Los Angeles CA 90016,34.035593,-118.364317
Mayberry Street Elementary Communication Arts Magnet,90026,5- 5,C,5-Jackie Goldberg,2414 Mayberry St Los Angeles CA 90026,34.084211200000006,-118.26495049999998
Roscomare Road Elementary,90077,K- 5,W,4-Nick Melvoin,2425 Roscomare Rd Los Angeles CA 90077,34.11958920000001,-118.4640206
Nathaniel Narbonne Senior High,90710,9-12,S,7-Dr Richard A Vladovic,24300 S Western Ave Harbor City CA 90710,33.8036845,-118.3065119
Shenandoah Street Elementary,90034,K- 5,W,1-Dr George J McKenna III,2450 Shenandoah St Los Angeles CA 90034,34.038507,-118.384125
George S Patton Continuation High,90710,9-12,S,7-Dr Richard A Vladovic,24514 S Western Ave Harbor City CA 90710,33.802124,-118.307244
Leo Politi Elementary,90006,K- 5,C,2-Monica Garcia,2481 W 11th St Los Angeles CA 90006,34.050999,-118.286892
Broad Avenue Elementary,90744,K- 5,S,7-Dr Richard A Vladovic,24815 Broad Ave Wilmington CA 90744,33.8014525,-118.2627122
Scholarship Prep South Bay,90744,K- 8,XR,7-Dr Richard A Vladovic,24910 S Avalon Bl Wilmington CA 90744,33.799742200000004,-118.2636078
Port of Los Angeles High School,90731,9-12,XR,7-Dr Richard A Vladovic,250 W 5th St San Pedro CA 90731,33.740444200000006,-118.2825819
Pueblo De Los Angeles Continuation High,90031,9-12,E,2-Monica Garcia,2506 Alta St Los Angeles CA 90031,34.0760455,-118.2037406
Hollenbeck Middle School,90023,6- 8,E,2-Monica Garcia,2510 E 6th St Los Angeles CA 90023,34.0365754,-118.2121738
Alexander Fleming Middle School,90717,6- 8,S,7-Dr Richard A Vladovic,25425 Walnut St Lomita CA 90717,33.7923726,-118.3138226
Utah Street Elementary,90033,K- 8,E,2-Monica Garcia,255 Gabriel Garcia Marquez St Los Angeles CA 90033,34.048499,-118.224714
Boyle Heights HS STEM Magnet,90023,9-12,E,2-Monica Garcia,2550 E 6th St Los Angeles CA 90023,34.0368456,-118.2098906
Renaissance Arts Academy,90065,6-12,XR,5-Jackie Goldberg,2558 N San Fernando Rd Los Angeles CA 90065,34.1080318,-118.2417895
Southeast Middle School DREAMS Magnet,90280,6- 8,E,5-Jackie Goldberg,2560 Tweedy Blvd South Gate CA 90280,33.9458132,-118.2249763
Aspire Pacific Academy,90255,10-12,XR,5-Jackie Goldberg,2565 58th St Huntington Park CA 90255,33.9904148,-118.2260729
Eshelman Avenue Elementary,90717,K- 5,S,7-Dr Richard A Vladovic,25902 Eshelman Ave Lomita CA 90717,33.7878624,-118.3142772
Dolores Huerta Elementary School,90011,K- 5,C,2-Monica Garcia,260 E 31st St Los Angeles CA 90011,34.0191593,-118.2684527
Cienega Elementary,90016,K- 5,W,1-Dr George J McKenna III,2611 S Orange Dr Los Angeles CA 90016,34.031958,-118.3537021
Angeles Mesa Elementary,90043,K- 5,W,1-Dr George J McKenna III,2611 W 52nd St Los Angeles CA 90043,33.9956571,-118.3221316
Stella Elementary Charter Academy,90016,K- K,XR,1-Dr George J McKenna III,2636 S Mansfield Av Los Angeles CA 90016,34.031560299999995,-118.3523587
Walnut Park Elementary DL Two-Way Im Spanish,90255,K- 2,E,5-Jackie Goldberg,2642 E Olive St Huntington Park CA 90255,33.96761559999999,-118.2238341
Pacific Boulevard School,90255,K- 5,E,5-Jackie Goldberg,2660 E 57th St Huntington Pk CA 90255,33.9908456,-118.223697
Farmdale Elementary,90032,K- 5,E,2-Monica Garcia,2660 Ruth Swiggett Dr Los Angeles CA 90032,34.0778922,-118.17978290000002
Prepa Tec Los Angeles,90255,6- 7,XR,5-Jackie Goldberg,2665 Clarendon Ave Huntington Park CA 90255,33.983729,-118.2234
Los Angeles Leadership Primary Academy,90031,K- 3,XR,2-Monica Garcia,2670 Griffin Ave Los Angeles CA 90031,34.0785674,-118.2114972
Simon Rodia Continuation High,90280,9-12,E,5-Jackie Goldberg,2701 Sequoia Dr South Gate CA 90280,33.942449,-118.2231944
Los Feliz Charter School for the Arts,90065,K- 6,XR,5-Jackie Goldberg,2709 E Media Center Dr Los Angeles CA 90065,34.1107058,-118.2452582
South East Senior High,90280,9-12,E,5-Jackie Goldberg,2720 Tweedy Blvd South Gate CA 90280,33.9454365,-118.2219277
Equitas Academy 2,90005,5- 5,XR,2-Monica Garcia,2723 W 8th St Los Angeles CA 90005,34.0580651,-118.2849472
Hoover Street Elementary,90005,K- 5,C,2-Monica Garcia,2726 Francis Ave Los Angeles CA 90005,34.0565545,-118.2858247
Liberty Boulevard Elementary,90280,K- 5,E,5-Jackie Goldberg,2728 Liberty Blvd South Gate CA 90280,33.961315899999995,-118.2220978
Evergreen Avenue Elementary,90033,K- 6,E,2-Monica Garcia,2730 Ganahl St Los Angeles CA 90033,34.0522869,-118.197423
Carmen Lomas Garza Primary Center,90023,K- 2,E,2-Monica Garcia,2750 E Hostetter St Los Angeles CA 90023,34.0244623,-118.2181684
Willow Elementary,90280,K- 5,E,5-Jackie Goldberg,2777 Willow Pl South Gate CA 90280,33.9552914,-118.2220261
Rudecinda Sepulveda Dodson Middle School,90275,6- 8,S,7-Dr Richard A Vladovic,28014 Montereina Dr Rancho Palos Verdes CA 90275,33.766016,-118.315592
28th Street Elementary,90011,K- 5,C,2-Monica Garcia,2807 Stanford Ave Los Angeles CA 90011,34.01854829999999,-118.2612048
KIPP Los Angeles College Preparatory,90023,5- 8,XR,2-Monica Garcia,2810 Whittier Blvd Los Angeles CA 90023,34.0312389,-118.209441
1st Street Elementary,90033,K- 6,E,2-Monica Garcia,2820 E First St Los Angeles CA 90033,34.040862,-118.2045698
Sunrise Elementary,90023,K- 6,E,2-Monica Garcia,2821 E 7th St Los Angeles CA 90023,34.029607,-118.2102864
Ivanhoe Elementary,90039,K- 5,C,5-Jackie Goldberg,2828 Herkimer St Los Angeles CA 90039,34.1087883,-118.2668997
Stanford Avenue Elementary,90280,1- 5,E,5-Jackie Goldberg,2833 Illinois Ave South Gate CA 90280,33.950838899999994,-118.220305
El Sereno Middle School Gifted Magnet,90032,6- 8,E,2-Monica Garcia,2839 N Eastern Ave Los Angeles CA 90032,34.0799751,-118.1784101
Henry T Gage Middle School,90255,6- 8,E,5-Jackie Goldberg,2880 E Gage Ave Huntington Park CA 90255,33.98103820000001,-118.2180313
Vista Charter Middle School,90026,6- 8,XR,2-Monica Garcia,2900 W Temple St Los Angeles CA 90026,34.0738866,-118.2787451
San Antonio Continuation High,90255,9-12,E,5-Jackie Goldberg,2911 Belgrave Ave Huntington Park CA 90255,33.987632700000006,-118.2171988
Virginia Road Elementary,90016,K- 5,W,1-Dr George J McKenna III,2925 Virginia Rd Los Angeles CA 90016,34.028156700000004,-118.3397646
Alliance Leichtman-Levine FFES High,90065,9-12,XR,5-Jackie Goldberg,2930 Fletcher Dr Los Angeles CA 90065,34.1138929,-118.2466778
Alliance Renee & Meyer Luskin Academy High School,90043,9-12,XR,1-Dr George J McKenna III,2941 W 70th St Los Angeles CA 90043,33.9766229,-118.3258838
Alexander Hamilton Senior High,90034,9-12,W,1-Dr George J McKenna III,2955 S Robertson Blvd Los Angeles CA 90034,34.034135,-118.391615
Dr Maya Angelou Community Senior High,90011,9-12,C,7-Dr Richard A Vladovic,300 E 53rd St Los Angeles CA 90011,33.9940398,-118.2679653
Orthopaedic Hospital Senior High Medical Magnet,90007,9-12,C,2-Monica Garcia,300 W 23rd St Los Angeles CA 90007,34.0288436,-118.2712109
Washington Irving Middle School Math Music Engineering Mag,90065,6- 8,C,5-Jackie Goldberg,3010 Estara Ave Los Angeles CA 90065,34.1157592,-118.2411035
Stanford Avenue Primary Center Elementary DL Two-Way Im Span,90280,K- K,E,5-Jackie Goldberg,3020 Kansas Av South Gate CA 90280,33.9484035,-118.2176201
John W Mack Elementary,90007,K- 5,C,1-Dr George J McKenna III,3020 S Catalina St Los Angeles CA 90007,34.0264362,-118.2934521
Rise Kohyang Middle,90010,6- 7,XR,2-Monica Garcia,3020 Wilshire Bl 2nd Fl Los Angeles CA 90010,34.061105600000005,-118.287469
Whitney Young Continuation High,90043,9-12,W,1-Dr George J McKenna III,3051 W 52nd St Los Angeles CA 90043,33.9951621,-118.3261407
Ernest P Willenberg Special Education Center,90732,6-12,S,7-Dr Richard A Vladovic,308 Weymouth Ave San Pedro CA 90732,33.7395483,-118.3091753
Gratts Learning Academy for Young Scholars (GLAYS),90017,2- 6,C,2-Monica Garcia,309 Lucas Ave Los Angeles CA 90017,34.0583434,-118.2625033
Lafayette Park Primary Center,90057,K- K,C,2-Monica Garcia,310 S La Fayette Park Pl Los Angeles CA 90057,34.0664029,-118.280595
Watts Learning Center School,90003,K- 5,XR,7-Dr Richard A Vladovic,310 W 95th St Los Angeles CA 90003,33.94981729999999,-118.2788314
6th Avenue Elementary,90018,K- 5,W,1-Dr George J McKenna III,3109 6th Ave Los Angeles CA 90018,34.02663,-118.324179
Belvedere Middle School,90063,6- 8,E,2-Monica Garcia,312 N Record Ave Los Angeles CA 90063,34.039318,-118.180466
Young Empowered Scholars Academy,90043,K- 5,W,1-Dr George J McKenna III,3140 Hyde Park Blvd Los Angeles CA 90043,33.9802848,-118.3283866
Mid-City's Prescott School of Enriched Sciences,90018,1- 5,W,1-Dr George J McKenna III,3150 W Adams Blvd Los Angeles CA 90018,34.0326395,-118.3183123
Garvanza Elementary Technology/Leadership Magnet,90042,K- 5,C,5-Jackie Goldberg,317 N Avenue 62 Los Angeles CA 90042,34.11787329999999,-118.182525
Sierra Park Elementary,90032,K- 6,E,2-Monica Garcia,3170 Budau Ave Los Angeles CA 90032,34.082312200000004,-118.1690883
Ambler Avenue Elementary Gifted Magnet,90746,1- 5,S,7-Dr Richard A Vladovic,319 E Sherman Dr Carson CA 90746,33.877738,-118.2715005
Ednovate- Esperanza College Prep,90022,9- 9,XR,2-Monica Garcia,319 N Humphreys Ave Los Angeles CA 90022,34.038931,-118.17147659999998
Malabar Street Elementary,90063,K- 6,E,2-Monica Garcia,3200 E Malabar St Los Angeles CA 90063,34.044251,-118.1943156
Carson-Gore Elementary DL Two-Way Im Spanish,90018,K- K,W,1-Dr George J McKenna III,3200 W Washington Bl Los Angeles CA 90018,34.0394287,-118.3193004
RFK Comm Schls - Ambassador Sch - Glbl Ed DL One-Way Im Span,90005,K- 5,C,2-Monica Garcia,3201 W 8th St Los Angeles CA 90005,34.05828579999999,-118.2974124
Math and Science College Preparatory,90018,9- 9,XR,1-Dr George J McKenna III,3202 W Adams Bl Los Angeles CA 90018,34.03223920000001,-118.3190075
San Pedro Senior High Marine Science/Tech/Math Magnet,90731,9-12,S,7-Dr Richard A Vladovic,3210 S Alma St San Pedro CA 90731,33.7165066,-118.29859740000002
State Street Elementary,90280,K- 5,E,5-Jackie Goldberg,3211 Santa Ana St South Gate CA 90280,33.963896000000005,-118.21206200000002
Miguel Contreras Learning Complex - Acdemic Ldrshp Community,90017,9-12,C,2-Monica Garcia,322 Lucas Ave Los Angeles CA 90017,34.0577989,-118.2611134
Albion Street Elementary,90031,K- 6,E,2-Monica Garcia,322 S Avenue 18 Los Angeles CA 90031,34.0691474,-118.2204758
Lucille Roybal-Allard Elementary,90255,K- 6,E,5-Jackie Goldberg,3232 Saturn Ave Huntington Park CA 90255,33.9758816,-118.2098261
Alain Leroy Locke College Preparatory Academy,90061,9-12,XR,7-Dr Richard A Vladovic,325 E 111th St Los Angeles CA 90061,33.935105,-118.2686505
Atwater Avenue Elementary,90039,K- 6,C,5-Jackie Goldberg,3271 Silver Lake Blvd Los Angeles CA 90039,34.115704,-118.254944
93rd Street Elementary,90003,K- 6,S,7-Dr Richard A Vladovic,330 E 93rd St Los Angeles CA 90003,33.951096,-118.268202
Harvard Elementary DL Two-Way Im Spanish,90004,K- K,W,2-Monica Garcia,330 N Harvard Bl Los Angeles CA 90004,34.0772018,-118.3042303
Florence Nightingale Middle School Gifted STEM Magnet,90065,6- 8,E,5-Jackie Goldberg,3311 N Figueroa St Los Angeles CA 90065,34.08773100000001,-118.219127
Victoria Avenue Elementary,90280,K- 5,E,5-Jackie Goldberg,3320 Missouri Ave South Gate CA 90280,33.946425899999994,-118.21090320000002
Mar Vista Elementary,90066,K- 5,W,4-Nick Melvoin,3330 Granville Ave Los Angeles CA 90066,34.0161068,-118.4344252
Point Fermin Elementary Marine Science Magnet,90731,K- 5,S,7-Dr Richard A Vladovic,3333 Kerckhoff Ave San Pedro CA 90731,33.7139196,-118.2904377
Gates Street Elementary,90031,K- 5,E,2-Monica Garcia,3333 Manitou Ave Los Angeles CA 90031,34.073435,-118.205937
Fletcher Drive Elementary,90065,K- 5,C,5-Jackie Goldberg,3350 Fletcher Dr Los Angeles CA 90065,34.1174927,-118.2396955
South Gate Senior High,90280,9-12,E,5-Jackie Goldberg,3351 Firestone Blvd South Gate CA 90280,33.9560708,-118.2093189
Camino Nuevo Charter Academy #2,90020,K- 8,XR,2-Monica Garcia,3400 W 3rd St Los Angeles CA 90020,34.0685541,-118.2888849
Loreto Street Elementary,90065,K- 5,E,5-Jackie Goldberg,3408 Arroyo Seco Ave Los Angeles CA 90065,34.086726299999995,-118.21634070000002
Glen Alta Elementary,90031,K- 8,E,2-Monica Garcia,3410 Sierra St Los Angeles CA 90031,34.0851497,-118.1995251
ISANA Nascent Academy,90018,K- 8,XR,1-Dr George J McKenna III,3417 W Jefferson Blvd Los Angeles CA 90018,34.025868200000005,-118.33334340000002
Ednovate-East College Prep,90071,9- 9,XR,2-Monica Garcia,350 S Figueroa St Los Angeles CA 90071,34.053718,-118.2550016
Animo Jackie Robinson,90007,9-12,XR,2-Monica Garcia,3500 S Hill St Los Angeles CA 90007,34.0172741,-118.2753632
Camino Nuevo High School #2,90004,9-12,XR,2-Monica Garcia,3500 W Temple St Los Angeles CA 90004,34.0764139,-118.2858476
Lincoln ESP Magnet,90031,9-12,E,2-Monica Garcia,3501 N Broadway Los Angeles CA 90031,34.074706799999994,-118.2040366
Palms Elementary,90034,K- 5,W,1-Dr George J McKenna III,3520 Motor Ave Los Angeles CA 90034,34.0263501,-118.4079582
Harrison Street Elementary,90063,K- 6,E,2-Monica Garcia,3529 City Terrace Dr Los Angeles CA 90063,34.0537888,-118.1889688
Susan Miller Dorsey Senior High Law/Public Srv/Pol Srv Mag,90016,9-12,W,1-Dr George J McKenna III,3537 Farmdale Ave Los Angeles CA 90016,34.0228135,-118.3463895
Dr Sammy Lee Elementary Medical and Health Science Magnet,90004,K- 5,C,2-Monica Garcia,3600 Council St Los Angeles CA 90004,34.074275,-118.2885651
Maple Primary Center,90011,K- 1,C,2-Monica Garcia,3601 S Maple Ave Los Angeles CA 90011,34.015479,-118.27073
Angel's Gate Continuation High,90731,9-12,S,7-Dr Richard A Vladovic,3607 S Gaffey St San Pedro CA 90731,33.7114309,-118.29295
Loma Vista Elementary,90270,K- 5,E,5-Jackie Goldberg,3629 E 58th St Maywood CA 90270,33.989823,-118.1996165
Beethoven Street Elementary,90066,K- 5,W,4-Nick Melvoin,3711 Beethoven St Los Angeles CA 90066,34.002043900000004,-118.4432782
Belvedere Elementary,90063,K- 5,E,2-Monica Garcia,3724 E First St Los Angeles CA 90063,34.0357588,-118.18627250000002
Gabriella Charter 2,90011,K- 2,XR,2-Monica Garcia,3736 Trinity St Los Angeles CA 90011,34.012117100000005,-118.2693357
Dr Theodore T Alexander Jr Science Center School,90007,K- 5,C,1-Dr George J McKenna III,3737 S Figueroa St Los Angeles CA 90007,34.0170902,-118.2839064
Foshay Learning Center,90018,K-12,C,1-Dr George J McKenna III,3751 S Harvard Blvd Los Angeles CA 90018,34.0192234,-118.306525
Magnolia Science Academy #6,90034,6- 8,XR,1-Dr George J McKenna III,3754 Dunn Dr Los Angeles CA 90034,34.0240419,-118.4001763
KIPP Pueblo Unido,90270,K- K,XR,-,3759 E 57th St Maywood CA 90270,33.9908584,-118.1964177
New Academy of Science & Arts,90017,K- 5,XR,2-Monica Garcia,379 S Loma Dr Los Angeles CA 90017,34.059301700000006,-118.2669604
Corona Avenue Elementary,90201,1- 5,E,5-Jackie Goldberg,3825 Bell Ave Bell CA 90201,33.9757126,-118.1976287
El Sereno Elementary,90032,K- 6,E,5-Jackie Goldberg,3838 Rosemead Ave Los Angeles CA 90032,34.0899751,-118.17721670000002
Thomas Bradley Global Awareness Magnet,90008,K- 5,W,1-Dr George J McKenna III,3875 Dublin Ave Los Angeles CA 90008,34.015156299999994,-118.3225882
Carpenter Community Charter,91604,K- 5,NE,3-Scott M Schmerelson,3909 Carpenter Ave Studio City CA 91604,34.1411016,-118.392257
Accelerated Charter Elementary,90037,K- 6,XR,2-Monica Garcia,3914 S Main St Los Angeles CA 90037,34.011432,-118.273685
Ednovate - USC Hybrid High College Prep,90037,9-10,XR,2-Monica Garcia,3939 S Vermont Ave Los Angeles CA 90037,34.0137215,-118.2916956
John Marshall Senior High Gifted Magnet,90027,9-12,C,5-Jackie Goldberg,3939 Tracy St Los Angeles CA 90027,34.1077961,-118.2771922
Grand View Boulevard Elementary DL Two-Way Im Spanish,90066,K- 5,W,4-Nick Melvoin,3951 Grand View Blvd Los Angeles CA 90066,34.0023667,-118.4295998
Glenfeliz Boulevard Elementary,90039,K- 6,C,5-Jackie Goldberg,3955 Glenfeliz Blvd Los Angeles CA 90039,34.1225096,-118.2675999
James J McBride Special Education Center,90066,6-12,W,4-Nick Melvoin,3960 Centinela Ave Los Angeles CA 90066,34.0012808,-118.4308281
Mount Washington Elementary,90065,K- 6,C,5-Jackie Goldberg,3981 San Rafael Ave Los Angeles CA 90065,34.104808500000004,-118.2159867
Martin Luther King Jr Elementary,90062,K- 5,C,1-Dr George J McKenna III,3989 S Hobart Blvd Los Angeles CA 90062,34.01173970000001,-118.30806640000002
Early College Academy - LA Trade Tech College,90015,9-12,C,2-Monica Garcia,400 W Washington Blvd Los Angeles CA 90015,34.032551500000004,-118.2697468
Wallis Annenberg High School,90037,9-12,XR,7-Dr Richard A Vladovic,4000 S Main St Los Angeles CA 90037,34.010732,-118.2737664
Marlton School,90008,PK-12,W,1-Dr George J McKenna III,4000 Santo Tomas Dr Los Angeles CA 90008,34.0088989,-118.343775
City Language Immersion Charter,90019,K- 2,XR,1-Dr George J McKenna III,4001 Venice Blvd Los Angeles CA 90019,34.0438588,-118.3248781
Ricardo Lizarraga Elementary,90011,K- 5,C,7-Dr Richard A Vladovic,401 E 40th Pl Los Angeles CA 90011,34.0105253,-118.2676913
Robert F Kennedy Elementary,90063,K- 6,E,5-Jackie Goldberg,4010 E Ramboz Drive Los Angeles CA 90063,34.05388060000001,-118.17756640000002
Center for Advanced Learning,90011,K- 5,XR,5-Jackie Goldberg,4016 S Central Ave Los Angeles CA 90011,34.0106285,-118.2557915
Hillcrest Drive Elementary,90008,K- 5,W,1-Dr George J McKenna III,4041 Hillcrest Dr Los Angeles CA 90008,34.013276399999995,-118.347633
122nd Street Elementary,90061,K- 5,S,7-Dr Richard A Vladovic,405 E 122nd St Los Angeles CA 90061,33.922068100000004,-118.2674172
Wilshire Park Elementary School,90005,K- 5,W,2-Monica Garcia,4063 Ingraham St Los Angeles CA 90005,34.06097889999999,-118.3165408
Johnnie L Cochran Jr Middle School,90019,6- 8,W,1-Dr George J McKenna III,4066 W Johnnie Cochran Vista Los Angeles CA 90019,34.0417463,-118.32683490000002
Hancock Park Elementary,90036,K- 5,W,4-Nick Melvoin,408 S Fairfax Ave Los Angeles CA 90036,34.069502,-118.360216
South Gate Middle School,90280,6- 8,E,5-Jackie Goldberg,4100 Firestone Blvd South Gate CA 90280,33.9531625,-118.1981384
Rancho Dominguez Preparatory School,90810,6-12,S,7-Dr Richard A Vladovic,4110 Santa Fe Ave Long Beach CA 90810,33.833734,-118.2159624
Eastman Avenue Elementary,90023,K- 5,E,2-Monica Garcia,4112 E Olympic Blvd Los Angeles CA 90023,34.01724060000001,-118.1847187
Stella Middle Charter Academy,90008,5- 8,XR,1-Dr George J McKenna III,4120 11th Av Los Angeles CA 90008,34.009304799999995,-118.3292111
Manual Arts Senior High,90037,9-12,C,1-Dr George J McKenna III,4131 S Vermont Ave Los Angeles CA 90037,34.0088223,-118.2921733
Global Education Academy,90037,K- 5,XR,1-Dr George J McKenna III,4141 S Figueroa St Los Angeles CA 90037,34.0083565,-118.28313
Menlo Avenue Elementary,90037,K- 5,C,1-Dr George J McKenna III,4156 Menlo Ave Los Angeles CA 90037,34.0077277,-118.2896613
Sheridan Street Elementary,90033,K- 6,E,2-Monica Garcia,416 N Cornwell St Los Angeles CA 90033,34.0502723,-118.2076132
Delevan Drive Elementary,90065,K- 6,C,5-Jackie Goldberg,4168 W Avenue 42 Los Angeles CA 90065,34.1275464,-118.22721509999998
Charles W Barrett Elementary,90003,K- 5,S,1-Dr George J McKenna III,419 W 98th St Los Angeles CA 90003,33.9477666,-118.2810289
4th Street Elementary,90022,2- 5,E,2-Monica Garcia,420 S Amalia Ave Los Angeles CA 90022,34.0286833,-118.15331940000002
Thomas Starr King MS Env Sci/Tech/Engineering/Arts/Math Mag,90029,6- 8,C,5-Jackie Goldberg,4201 Fountain Ave Los Angeles CA 90029,34.0960386,-118.2810289
Canyon Charter Elementary,90402,K- 5,W,4-Nick Melvoin,421 Entrada Dr Santa Monica CA 90402,34.0316972,-118.5121765
Rosemont Avenue Elementary,90026,2- 5,C,2-Monica Garcia,421 N Rosemont Ave Los Angeles CA 90026,34.0723117,-118.2699067
Esteban Torres HS - East Los Angeles Performing Arts Magnet,90063,9-12,E,2-Monica Garcia,4211 Dozier St Los Angeles CA 90063,34.0421073,-118.1752691
Alexandria Avenue Elementary DL Two-Way Im Spanish,90004,K- 1,C,2-Monica Garcia,4211 Oakwood Av Los Angeles CA 90004,34.0777955,-118.2989582
Marianna Avenue Elementary,90063,K- 6,E,2-Monica Garcia,4215 E Gleason St Los Angeles CA 90063,34.035360600000004,-118.1753041
Dixie Canyon Community Charter,91423,K- 5,NE,3-Scott M Schmerelson,4220 Dixie Canyon Ave Sherman Oaks CA 91423,34.1476033,-118.4245706
Barton Hill Elementary,90731,K- 6,S,7-Dr Richard A Vladovic,423 N Pacific Ave San Pedro CA 90731,33.7465033,-118.2882454
42nd Street Elementary,90008,K- 5,W,1-Dr George J McKenna III,4231 4th Ave Los Angeles CA 90008,34.0063961,-118.3217663
Lanai Road Elementary,91436,K- 5,NW,4-Nick Melvoin,4241 Lanai Rd Encino CA 91436,34.148169700000004,-118.4927373
Teresa P Hughes Elementary,90201,K- 6,E,5-Jackie Goldberg,4242 Clara St Cudahy CA 90201,33.9658136,-118.193036
Rio Vista Elementary,91602,K- 5,NE,3-Scott M Schmerelson,4243 Satsuma Ave North Hollywood CA 91602,34.147487899999994,-118.3678219
Bandini Street Elementary,90731,K- 6,S,7-Dr Richard A Vladovic,425 N Bandini St San Pedro CA 90731,33.7464271,-118.2992066
Latona Avenue Elementary,90031,K- 6,E,2-Monica Garcia,4312 Berenice Ave Los Angeles CA 90031,34.09190039999999,-118.2026324
West Vernon Avenue Elementary,90037,K- 5,C,7-Dr Richard A Vladovic,4312 S Grand Ave Los Angeles CA 90037,34.005382,-118.2802731
Bell Senior High Gifted Science/Tech/Eng/Math Magnet,90201,9-12,E,5-Jackie Goldberg,4328 Bell Ave Bell CA 90201,33.9724171,-118.1901373
Sierra Vista Elementary,90032,K- 6,E,5-Jackie Goldberg,4342 Alpha St Los Angeles CA 90032,34.095657,-118.15851200000002
Lockwood Avenue Elementary,90029,K- 6,C,5-Jackie Goldberg,4345 Lockwood Ave Los Angeles CA 90029,34.0890364,-118.2888849
City Terrace Elementary DL Two-Way Im Mandarin,90063,K- 5,E,5-Jackie Goldberg,4350 City Terrace Dr Los Angeles CA 90063,34.056952700000004,-118.1712983
Animo Ellen Ochoa Middle School,90022,6- 8,XR,2-Monica Garcia,4360 Dozier St Los Angeles CA 90022,34.0411044,-118.1717685
Coliseum Street Elementary,90016,K- 5,W,1-Dr George J McKenna III,4400 Coliseum St Los Angeles CA 90016,34.018094500000004,-118.3435476
George Washington Carver Middle School,90011,6- 8,C,5-Jackie Goldberg,4410 Mc Kinley Ave Los Angeles CA 90011,34.003133,-118.2621
Marguerite Poindexter LaMotte Elementary,90037,K- 5,C,1-Dr George J McKenna III,4410 Orchard Ave Los Angeles CA 90037,34.0032485,-118.2885195
KIPP Vida Preparatory Academy,90037,K- 4,XR,1-Dr George J McKenna III,4410 S Budlong Ave Los Angeles CA 90037,34.003387,-118.2956835
